age,gender,height_cm,weight_kg,bmi,sleep_hours,water_liters,exercise_minutes,health_suggestion
56,Female,166,88,31.9,7.4,1.1,20,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
46,Female,151,74,32.5,6.9,1.3,4,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
32,Male,151,90,39.5,4.6,1.5,81,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
60,Male,177,50,16.0,8.1,4.0,91,"Increase calorie intake with nutritious foods, include strength training, and aim for consistent meal timings."
25,Female,172,81,27.4,8.1,2.9,41,"Reduce sugary and fried foods, increase water intake, walk at least 30 minutes daily, and track calories."
38,Female,186,68,19.7,7.1,1.8,60,"Maintain a balanced diet, stay active, continue drinking adequate water, and ensure regular sleep schedule."
56,Female,181,90,27.5,8.1,3.1,21,"Reduce sugary and fried foods, increase water intake, walk at least 30 minutes daily, and track calories."
36,Male,182,97,29.3,7.3,3.7,20,"Reduce sugary and fried foods, increase water intake, walk at least 30 minutes daily, and track calories."
40,Male,150,104,46.2,5.0,3.9,69,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
28,Male,168,107,37.9,5.4,0.7,0,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
28,Male,151,76,33.3,5.1,1.9,4,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
41,Male,175,77,25.1,5.9,0.9,104,"Reduce sugary and fried foods, increase water intake, walk at least 30 minutes daily, and track calories."
53,Male,181,62,18.9,4.2,1.7,11,"Maintain a balanced diet, stay active, continue drinking adequate water, and ensure regular sleep schedule."
57,Female,155,69,28.7,7.1,1.1,89,"Reduce sugary and fried foods, increase water intake, walk at least 30 minutes daily, and track calories."
41,Male,181,98,29.9,5.7,2.8,45,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
20,Male,153,102,43.6,7.3,1.9,33,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
39,Male,160,90,35.2,5.9,1.3,48,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
19,Female,166,68,24.7,7.4,1.4,77,"Maintain a balanced diet, stay active, continue drinking adequate water, and ensure regular sleep schedule."
41,Male,187,76,21.7,5.7,1.8,89,"Maintain a balanced diet, stay active, continue drinking adequate water, and ensure regular sleep schedule."
61,Male,173,91,30.4,5.3,1.4,44,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
